% valor	NoC_0	NoC_1	NoC_2	NoC_2zz	NoC_3	NoC_3c1
7	491135	17327	25605	43178	102268	30616
8	433050	12899	18060	45550	78842	22843
9	356248	10445	14369	25082	63127	18424
10	275248	8729	11578	28080	51105	15390
11	206895	7482	9838	17350	41103	13290
12	154559	6159	8770	19249	32801	11513
13	118257	5477	8178	12691	25822	10116
14	90244	4703	6830	14346	21397	8737
15	66082	4066	5890	9773	18268	7816
16	47984	3553	5324	11250	15604	6722
17	36823	3252	4780	8445	13618	6030
18	29950	2754	4305	9382	12506	5405
19	24730	2569	4174	7130	11625	5104
20	20677	2498	4187	7875	11354	4666
21	19067	2155	4117	6054	11043	4195
22	18023	1769	3150	6759	9991	3376
23	16304	1426	2551	5425	9485	2825
24	14264	1236	2090	5822	8997	2355
25	12806	1122	1795	4764	8708	2136
26	12115	970	1613	5155	8031	1933
27	11938	859	1511	4211	7317	1659
28	11498	717	1383	4366	6891	1415
29	11015	683	1189	3650	6498	1245
30	10383	565	1082	3916	6422	1185
31	10062	553	1060	3294	6103	1042
32	9756	485	924	3427	6074	873
33	9827	397	743	2817	5831	796
34	9388	362	677	3039	4923	720
35	9058	356	670	2544	4334	647
36	8953	311	605	2779	3681	541
37	8456	282	563	2546	2997	537
38	8254	236	490	2434	2750	481
39	7896	227	413	2332	2334	378
40	6989	189	434	2394	2085	370
41	5942	151	355	2077	1864	302
42	5445	128	322	1909	1616	277
43	4682	134	336	1634	1499	254
44	4194	112	286	1623	1407	221
45	3545	115	313	1392	1233	199
46	2966	73	265	1371	1089	178
47	2638	79	208	1178	929	156
48	2385	81	168	1164	804	160
49	2128	56	187	1060	750	132
50	2000	49	137	1032	725	131
51	1844	68	197	920	605	117
52	1689	52	144	930	483	98
53	1625	46	152	806	473	80
54	1353	30	118	804	440	89
55	1234	31	98	693	453	87
56	1081	23	95	711	408	58
57	1036	31	88	622	351	67
58	983	27	99	609	329	70
59	924	42	79	558	255	51
60	838	22	64	552	247	55
61	771	19	55	513	219	46
62	673	20	67	528	205	41
63	656	17	53	477	146	28
64	591	10	84	485	137	32
65	525	14	48	401	103	28
66	505	12	27	367	97	15
67	425	6	34	373	113	28
68	351	6	31	355	93	22
69	306	5	45	307	91	23
70	231	4	42	331	66	14
71	229	3	35	270	91	19
72	210	6	30	309	57	15
73	162	2	42	232	51	7
74	177	1	61	254	57	11
75	128	3	68	244	53	14
76	113	1	36	240	47	6
77	125	4	25	199	44	9
78	117	1	38	186	46	6
79	93	1	10	166	42	5
80	86	2	4	159	46	5
81	90	1	4	179	32	6
82	73	5	11	141	57	9
83	82	2	1	134	54	5
84	67	2	10	137	42	1
85	56	0	28	119	53	3
86	68	1	21	123	31	4
87	78	2	19	99	34	5
88	72	0	11	115	34	1
89	64	0	3	99	26	2
90	43	3	8	106	34	4
91	52	0	30	89	27	4
92	56	1	9	76	24	3
93	68	3	1	89	29	2
94	62	1	1	74	15	2
95	48	0	2	70	12	3
96	50	0	0	67	17	0
97	48	0	0	42	15	0
98	38	0	0	55	23	1
99	65	0	0	55	26	0
100	1218	0	1	47	54	1
101	0	0	0	45	0	0
102	0	0	0	59	0	1
103	0	0	0	43	0	0
104	0	0	0	38	0	0
105	0	0	0	46	0	1
106	0	0	0	33	0	0
107	0	0	0	34	0	0
108	0	0	0	28	0	0
109	0	0	0	33	0	0
110	0	0	0	23	0	0
111	0	0	0	30	0	0
112	0	0	0	16	0	0
113	0	0	0	23	0	0
114	0	0	0	32	0	0
115	0	0	0	16	0	0
116	0	0	0	28	0	0
117	0	0	0	26	0	0
118	0	0	0	29	0	0
119	0	0	0	15	0	0
120	0	0	0	26	0	0
121	0	0	0	14	0	0
122	0	0	0	9	0	0
123	0	0	0	19	0	0
124	0	0	0	17	0	0
125	0	0	0	17	0	0
126	0	0	0	7	0	0
127	0	0	0	10	0	0
128	0	0	0	10	0	0
129	0	0	0	8	0	0
130	0	0	0	15	0	0
131	0	0	0	7	0	0
132	0	0	0	6	0	0
133	0	0	0	11	0	0
134	0	0	0	6	0	0
135	0	0	0	10	0	0
136	0	0	0	7	0	0
137	0	0	0	6	0	0
138	0	0	0	5	0	0
139	0	0	0	9	0	0
140	0	0	0	6	0	0
141	0	0	0	4	0	0
142	0	0	0	2	0	0
143	0	0	0	6	0	0
144	0	0	0	4	0	0
145	0	0	0	1	0	0
146	0	0	0	3	0	0
147	0	0	0	1	0	0
148	0	0	0	2	0	0
149	0	0	0	3	0	0
150	0	0	0	4	0	0
151	0	0	0	2	0	0
152	0	0	0	2	0	0
153	0	0	0	5	0	0
154	0	0	0	1	0	0
155	0	0	0	3	0	0
156	0	0	0	0	0	0
157	0	0	0	1	0	0
158	0	0	0	0	0	0
159	0	0	0	2	0	0
160	0	0	0	1	0	0
161	0	0	0	2	0	0
162	0	0	0	2	0	0
163	0	0	0	0	0	0
164	0	0	0	6	0	0
165	0	0	0	4	0	0
166	0	0	0	1	0	0
167	0	0	0	4	0	0
168	0	0	0	0	0	0
169	0	0	0	0	0	0
170	0	0	0	0	0	0
171	0	0	0	0	0	0
172	0	0	0	1	0	0
173	0	0	0	0	0	0
174	0	0	0	1	0	0
175	0	0	0	0	0	0
176	0	0	0	0	0	0
177	0	0	0	0	0	0
178	0	0	0	2	0	0
179	0	0	0	2	0	0
180	0	0	0	1	0	0
181	0	0	0	0	0	0
182	0	0	0	0	0	0
183	0	0	0	1	0	0
184	0	0	0	1	0	0
185	0	0	0	0	0	0
186	0	0	0	1	0	0
187	0	0	0	1	0	0
188	0	0	0	0	0	0
189	0	0	0	0	0	0
190	0	0	0	0	0	0
191	0	0	0	0	0	0
192	0	0	0	1	0	0
193	0	0	0	0	0	0
194	0	0	0	0	0	0
195	0	0	0	0	0	0
196	0	0	0	0	0	0
