% valor	NoC_0	NoC_1	NoC_2	NoC_2zz	NoC_3	NoC_3c1
21	103784	5106	9130	19909	30061	8229
22	101478	4222	7835	26446	26497	6699
23	101865	3699	6632	14560	23478	5428
24	100405	3141	5504	20252	21003	4488
25	102599	2714	5018	10787	18902	3633
26	99117	2314	4258	15188	16532	3027
27	99278	2096	3723	8213	14554	2603
28	99757	1862	3275	11543	13319	2148
29	101658	1611	2878	6177	11833	1850
30	98454	1432	2647	8856	11044	1570
31	95823	1245	2279	4943	9724	1342
32	95313	1053	2016	7038	8700	1100
33	96011	851	1740	3655	8055	965
34	92523	730	1608	5495	7011	829
35	90782	597	1400	2948	6543	719
36	89910	505	1288	4351	6001	637
37	90065	388	1160	2380	5300	514
38	87433	351	941	3392	5178	498
39	86389	275	846	2005	4589	414
40	86756	218	810	2803	4215	351
41	85977	189	661	1593	3934	334
42	85069	180	558	2362	3546	328
43	84876	168	548	1324	3251	261
44	84187	136	446	1880	3110	275
45	81388	126	366	1038	2997	220
46	81391	99	373	1612	2756	225
47	81841	119	282	923	2562	196
48	81010	113	268	1279	2392	192
49	79664	81	276	746	2255	181
50	78534	73	240	1094	2108	138
51	78243	84	211	674	1974	155
52	76522	79	210	904	1843	129
53	74931	46	211	554	1706	115
54	73801	81	160	730	1659	124
55	72023	68	170	483	1552	108
56	72092	54	138	643	1475	127
57	70889	49	116	414	1407	104
58	69481	38	144	529	1339	80
59	68708	44	120	325	1209	84
60	69274	44	97	485	1143	98
61	68991	44	103	313	1073	80
62	69210	32	97	370	1002	66
63	69075	39	89	253	908	63
64	70049	31	91	375	944	73
65	69441	29	74	225	855	64
66	68996	31	87	275	818	55
67	69276	30	76	189	791	49
68	69386	26	71	244	703	47
69	68136	22	60	180	709	39
70	67418	38	70	226	662	39
71	66164	17	42	147	650	40
72	65329	18	40	191	640	29
73	63873	17	36	146	574	41
74	62471	9	23	195	547	32
75	61332	16	25	127	542	29
76	59445	10	18	142	507	28
77	57348	11	18	113	445	30
78	55403	11	23	134	419	14
79	53884	8	18	123	422	17
80	51473	8	19	114	376	14
81	49921	8	13	101	394	15
82	47667	9	10	121	352	20
83	45377	6	21	86	326	14
84	43468	5	15	95	303	11
85	41368	4	13	77	291	9
86	39952	6	15	83	229	4
